Timestamp,Which A/L stream did you choose?,Did everything go well with your A/L exams?,What is your favorite subject? ,Kindly input your O/L exam results [Mathematics],Kindly input your O/L exam results [Science],Kindly input your O/L exam results [Religion],Kindly input your O/L exam results [English],Kindly input your O/L exam results [Sinhala or Tamil],Kindly input your O/L exam results [History],Kindly input your O/L exam results [Basket I],Kindly input your O/L exam results [Basket II],Kindly input your O/L exam results [Basket III],What career are you interested in pursuing? ,Which higher education field are you currently following or have you completed? ,Column 15,"If so, what kind of job do you do? ","On a scale of 1 to 5, how satisfied are you with your current job?  ","If you had the opportunity, would you prefer to do a different job? If yes, what job would you like to do?  ","What advice would you give to students selecting their A/L stream? Additionally, do you have any feedback or suggestions for improving this project? "
5/3/2025 14:11,Commerce,"Yes, everything went well",Business Studies ,B,A,A,B,A,A,B,C,A,Banking,BA (Hons) Management and Leadership ,I'm currently employed,Private Sector,4,IT company Procurement ,
5/3/2025 14:11,Bio Science,"Mostly, but I faced some challenges",maths ,A,B,A,B,A,C,B,A,B,Software engineer,Software Engineering,I'm currently employed,IT / Software Development,4,UI UX Engineer ,Overall good project.
5/3/2025 14:13,Physical Science,"Mostly, but I faced some challenges",Maths,A,C,B,B,A,C,A,C,A,Software Engineer,Information Technology ,I'm currently employed,Private Sector,4,Teaching,No
5/3/2025 14:16,Physical Science,"Mostly, but I faced some challenges",maths,A,B,A,A,A,A,A,B,A,Business,software engineering ,I'm currently employed,Self-Employed,4,Piloting,
5/3/2025 14:17,Physical Science,"Mostly, but I faced some challenges",Maths ,A,A,A,B,A,A,A,A,A,To be a engineer ,Electrical engineering ,,Government Sector,3,Architecture ,Good job 
5/3/2025 14:19,Physical Science,"Mostly, but I faced some challenges",science,A,A,A,C,A,A,A,C,A,engineering,marine engineering,I'm currently employed,Government Sector,3,own business,-
5/3/2025 14:20,Technology,"Mostly, but I faced some challenges",ICT,C,C,A,A,A,B,C,C,C,Teaching ,Social work,I'm currently employed,Private Sector,4,A job related with HR side,
5/3/2025 14:21,Arts,"Yes, everything went well",Dancing ,C,C,C,B,B,C,C,A,B,Teaching,Dancing,I'm currently employed,IT / Software Development,4,Teaching,The purpose is very good.
5/3/2025 14:22,Arts,"Yes, everything went well",art,C,C,A,A,B,A,C,B,A,IT,Information technology,,Private Sector,3,Nothing,All goos
5/3/2025 14:22,Arts,"Yes, everything went well",english,A,B,A,A,A,A,A,A,A,Teaching,Teaching,I'm currently employed,Teaching / Education,4,"Yes, Fashion designing",
5/3/2025 14:22,Physical Science,"Yes, everything went well",maths ,A,A,A,A,B,B,C,C,A,Automotive designing and engneering,maths Science ,,,,,"More details regarding the skills, experience should be obtained and considered "
5/3/2025 14:24,Physical Science,"Mostly, but I faced some challenges",Combined maths,A,B,A,A,B,A,A,A,B,SE,Software Engineering,I'm currently employed,Private Sector,3,Nurse,
5/3/2025 14:24,Commerce,"Yes, everything went well",IT,B,C,C,B,C,C,C,C,C,IT,IT,,IT / Software Development,1,Yes,
5/3/2025 14:24,Physical Science,"Yes, everything went well",Combined mathematics ,A,A,A,B,A,A,B,A,A,Software engineer ,,,IT / Software Development,3,No,
5/3/2025 14:26,Arts,"Yes, everything went well",Oriental music,C,C,B,B,B,C,A,A,C,Teaching,English teaching,I'm currently employed,Private Sector,3,Private tutor ,Good ! 
5/3/2025 14:26,Physical Science,"Mostly, but I faced some challenges",maths ,A,A,A,B,A,A,A,A,A,Custom officer,Software Engineering ,,,,,
5/3/2025 14:26,Physical Science,"Yes, everything went well",maths ,A,B,A,A,A,A,A,B,A,Engineering ,Engineering ,,,,,
5/3/2025 14:32,Commerce,"Mostly, but I faced some challenges",Business studies ,C,B,C,C,B,B,C,C,B,Supply chain management ,Business management,I'm currently employed,Private Sector,1,Logistics manager,Good
5/3/2025 14:38,Bio Science,"Yes, everything went well",Bio,A,B,A,B,A,A,A,A,B,The Entrepreneur,CQHRM,I'm currently employed,Self-Employed,5,No,No
5/3/2025 14:39,Bio Science,"Mostly, but I faced some challenges",science ,A,A,A,A,A,A,A,A,A,Aircraft Maintenance Engineering,Aircraft Maintenance Engineering ,,,,,
5/3/2025 14:40,Bio Science,"Mostly, but I faced some challenges",Bio,A,A,A,B,A,A,A,A,C,Food science ,Food science ,,,,Start a restaurant ,
5/3/2025 14:40,Physical Science,"Mostly, but I faced some challenges",Mathematics ,A,A,A,A,A,B,S,C,A,Engineering,Software engineering,,,,,
5/3/2025 14:40,Bio Science,"Mostly, but I faced some challenges",science,A,A,A,A,A,A,A,A,A,Doctor,medicine ,,,,,
5/3/2025 14:44,Physical Science,"Yes, everything went well",Maths,A,A,A,A,A,A,A,B,A,Academic,Software engineering,,,,,
5/3/2025 14:45,Physical Science,"Yes, everything went well",French,B,B,A,A,A,A,C,A,A,Teaching, Education ,I'm currently employed,Teaching / Education,5,No,
5/3/2025 14:50,Arts,"Yes, everything went well",History ,C,B,A,B,A,A,A,A,A,Teaching ,Bachelors in Art,,,,,It's good..
5/3/2025 14:54,Physical Science,"Mostly, but I faced some challenges",maths,A,A,A,A,A,A,A,B,B,Network enjineer,Computer system and network engineering,I'm currently employed,Private Sector,4,Comuter systems,No
5/3/2025 14:54,Physical Science,"Mostly, but I faced some challenges",Maths,A,A,A,A,B,A,A,A,B,Not sure,Computer science ,,,,,
5/3/2025 14:55,Physical Science,"Yes, everything went well",Combined Maths,A,B,A,A,A,A,A,A,A,Software Engineer ,Software Engineering ,,IT / Software Development,5,No,
5/3/2025 14:56,Physical Science,"Mostly, but I faced some challenges",science ,A,A,A,A,A,A,A,B,A,Engineering ,Civil engineering ,,,,,No
5/3/2025 14:56,Commerce,"Yes, everything went well",Economics,A,C,B,A,B,A,A,A,A,Program Manager,Technology ,,IT / Software Development,,,
5/3/2025 14:58,Physical Science,"Mostly, but I faced some challenges",ICT,A,B,B,A,A,A,B,B,A,Software Engineering ,Software Engineering ,I'm currently employed,IT / Software Development,3,No,It would be great if the extra curricular activities or clubs that we liked and participated during schooling was collected for depictive analysis 
5/3/2025 14:59,Bio Science,"No, I had difficulties",science ,A,A,A,A,A,A,A,A,A,Software engineer,Information and communication technology,,IT / Software Development,3,Yes a pharmacist ,No
5/3/2025 15:00,Arts,"Mostly, but I faced some challenges",English,A,C,A,A,A,B,B,B,B,Aviation ,Tourism ,I'm currently employed,Private Sector,4,Event management ,
5/3/2025 15:02,Commerce,"Yes, everything went well",Business studies ,B,B,A,A,A,B,A,B,A,Teaching  ,Diploma in English ,I'm currently employed,Government Sector,2,Yes ,
5/3/2025 15:03,Bio Science,"Yes, everything went well",Biology ,B,A,A,B,A,B,A,B,C,Agriculture ,Agriculture ,,Government Sector,,,
5/3/2025 15:06,Commerce,"Mostly, but I faced some challenges",Economics ,A,A,A,A,A,A,C,A,A,Teaching ,Undergraduate (TESOL),,Teaching / Education,,No,
5/3/2025 15:08,Bio Science,"Mostly, but I faced some challenges",science ,A,A,A,A,A,A,A,A,A,Teaching ,No,,,,,
5/3/2025 15:08,Physical Science,"Yes, everything went well",maths,A,A,A,A,A,A,A,A,A,Business analyst,Information System Engineering,I'm currently employed,Self-Employed,5,Mechanical Engineering,
5/3/2025 15:14,Bio Science,"Mostly, but I faced some challenges",Agri science ,A,A,A,A,A,A,A,A,A,Business ,Agricultural technology and management ,,Self-Employed,,,
5/3/2025 15:15,Physical Science,"Yes, everything went well",Maths,A,B,A,S,B,B,A,B,B,Huu,Software  engineering ,I'm currently employed,IT / Software Development,1,Baa,
5/3/2025 15:16,Physical Science,"Yes, everything went well",Combined Mathematics,A,A,A,A,A,A,A,A,A,Logistics,Management and Information Technology ,I'm currently employed,Private Sector,4,No,
5/3/2025 15:19,Arts,"Mostly, but I faced some challenges",Maths,A,A,A,A,A,A,A,A,A,An author or a librarian ,Information Systems,,,,,Just choose to do what you're good at.
5/3/2025 15:19,Bio Science,"Yes, everything went well",Biology ,A,A,A,A,A,A,A,A,A,Medical officer,Medicine ,,,,,Let their will for A/l subjects 
5/3/2025 15:20,Physical Science,"Yes, everything went well",maths ,A,A,A,A,A,A,A,A,A,Engineering ,Mechanical Engineering ,,,,,Choose according to their real interest.
5/3/2025 15:21,Physical Science,"Mostly, but I faced some challenges",maths ,A,B,B,A,B,A,A,A,A,Engineering ,Mechanical engineering ,,,,,
5/3/2025 15:21,Physical Science,"Mostly, but I faced some challenges",IT,A,B,A,A,A,A,A,A,A,In Cyber security field ,Doing cyber security degree ,,,,,Don't start love affairs else u r gonna end up.
5/3/2025 15:22,Physical Science,"Mostly, but I faced some challenges",Combined maths,A,A,A,B,A,A,B,A,A,Engineering ,Computer science ,,IT / Software Development,3,No ,
5/3/2025 15:24,Bio Science,"Yes, everything went well",Science ,A,A,A,A,A,A,A,B,A,Lecturer ,,I'm currently employed,Government Sector,4,,Just one advice. Do what you love.
5/3/2025 15:27,Arts,"Yes, everything went well",Geography i,A,A,A,A,A,A,A,A,A,Judge ,Law,,,,,"Understand Your Interests and Passions.
"
5/3/2025 15:29,Arts,"Mostly, but I faced some challenges",Geography ,C,B,A,A,A,A,A,B,A,Teaching ,Al,I'm currently employed,Teaching / Education,5,Business ,Choose the best for you
5/3/2025 15:30,Physical Science,"Mostly, but I faced some challenges",maths ,A,A,A,C,A,B,A,A,B,Maritime industry ,Nautical science ,,Private Sector,1,No,Select a subject that suits the target
5/3/2025 15:32,Physical Science,"Mostly, but I faced some challenges",Combined maths,A,B,A,B,A,A,A,A,A,Lecture,Information technology ,,Private Sector,,,"Also You have to add ""student"" to the current job status "
5/3/2025 15:37,Bio Science,"Yes, everything went well",Biology ,A,A,A,A,A,A,A,B,A,Project Manager,IT,I'm currently employed,Government Sector,3,Project Manager,Select the most suitable stream according to your results and desire.
5/3/2025 15:40,Bio Science,"Mostly, but I faced some challenges",Biology,A,A,A,A,A,A,A,A,A,Laboratory scientists ,Bio science ,I'm currently employed,Teaching / Education,4,"Yes, research assistant",I suggest when selecting subjects for  A/L think about future job market
5/3/2025 15:42,Arts,"Mostly, but I faced some challenges",French ,C,C,A,A,B,A,A,A,B,Tourism and hospitality ,Following an HND in tourism and hospitality management ,,,,,When selecting the A/L stream they must have a clear goal or an ambition and must think about the subject combinations and specifically the willingness of the subject that they are going to do to achieve their dream.
5/3/2025 15:43,Physical Science,"Mostly, but I faced some challenges",science,A,A,A,A,A,A,A,A,A,Quality Assurance,BSc Physical Science,,,,,
5/3/2025 15:44,Physical Science,"Yes, everything went well",Combined Mathematics ,A,A,A,A,A,B,A,B,B,Data science ,Statistics & Mathematics ,,,,,
5/3/2025 15:49,Physical Science,"Mostly, but I faced some challenges",Mathematics ,A,A,A,A,A,A,A,A,A,Frontend developer,Statistics & Comp. Sci.,,,,,
5/3/2025 15:55,Physical Science,"Mostly, but I faced some challenges",science ,A,A,A,A,A,A,A,A,A,Computer Engineering ,Computer Engineering ,,,,,
5/3/2025 15:59,Bio Science,"Mostly, but I faced some challenges",Biology ,A,A,A,A,A,A,A,A,A,Agronomist ,Agriculture technology and management,,,,,
5/3/2025 16:01,Commerce,"Yes, everything went well",Economics ,B,B,A,B,A,B,A,C,A,Accountant ,Applied Accounting ,I'm currently employed,Private Sector,5,"Yes , Designing ",
5/3/2025 16:02,Bio Science,"Yes, everything went well",maths ,A,A,A,C,A,A,A,A,A,Nursing ,Nursing course ,,Student ,,No,Good project 
5/3/2025 16:05,Physical Science,"Mostly, but I faced some challenges",ICT,B,B,A,A,S,B,C,A,B,Hardware Engineering,Undergraduate,I'm currently employed,IT / Software Development,3,No,
5/3/2025 16:08,Physical Science,"Mostly, but I faced some challenges",maths,A,A,A,A,A,A,A,B,A,S E,Software Engineering,I'm currently employed,IT / Software Development,3,I DONT KNOW,Pick something you have interest
5/3/2025 16:12,Physical Science,"Mostly, but I faced some challenges",Math,A,A,A,A,A,A,A,A,A,ID Develop Engineer ,Information Technology ,,,,,Keep Going.Good Work.But do not make it more difficult to navigate and Do not add context content to the Project because of the end students are still school students..😊
5/3/2025 16:13,Physical Science,"No, I had difficulties",Mathematics,A,C,B,A,A,C,B,B,S,Software engineering,software engineering,,,4,Musician,choose the parth you like A/ls is not always the only parth
5/3/2025 16:14,Physical Science,"Mostly, but I faced some challenges",science ,A,A,A,A,A,A,A,A,B,Information Technology ,Computer Science ,I'm currently employed,IT / Software Development,4,No,reflect on long term career growth and stability.
5/3/2025 16:15,Bio Science,"No, I had difficulties",science ,A,A,A,A,A,A,A,A,A,Lawyer,,,,,,
5/3/2025 16:16,Physical Science,"Mostly, but I faced some challenges",Mathematics,A,B,A,A,A,B,B,A,A,IT,Information System Engineering,I'm currently employed,IT / Software Development,4,"Yes,Businessman","Choose subjects you enjoy, research career options, seek guidance, consider strengths, and align your A/L stream with future goals."
5/3/2025 16:18,Commerce,"Mostly, but I faced some challenges",Commerce,A,C,A,C,B,B,B,B,B,CEO,purchasing officer ,I'm currently employed,Private Sector,3,,work hard 
5/3/2025 16:18,Arts,"Yes, everything went well",Geography,C,A,A,A,A,A,A,C,A,Business,Management Degree,,,,,
5/3/2025 16:20,Physical Science,"Yes, everything went well",Combined Maths,A,A,A,A,A,A,A,A,C,IT,Software Engineering,I'm currently employed,IT / Software Development,3,Cricketer,
5/3/2025 16:20,Physical Science,"Mostly, but I faced some challenges",Maths ,A,B,B,B,A,A,A,A,A,Software engineer ,Software engineer ,I'm currently employed,Private Sector,3,Yes,
5/3/2025 16:20,Physical Science,"Mostly, but I faced some challenges",science ,A,A,A,A,A,A,A,A,A,Computer of Electrical electronic Engineering ,,,,,,
